date,id,code,mxn,usd,eur,rub,gel,gbp,jpy,aud,aed
2024-04-30,5,rub,0.1862563,0.010937085,0.010206788,1.0,0.029363578,0.008712236,1.71491039,0.016674483,0.040166446
2024-05-01,1,mxn,1.0,0.058343743,0.054717885,5.3136842,0.15624052,0.046719127,9.20651218,0.090161366,0.2142674
2024-05-01,2,usd,17.13979861,1.0,0.93785353,91.07547715,2.67793112,0.80075643,157.7977646,1.54534765,3.6725
2024-05-01,3,eur,18.27556021,1.06626458,1.0,97.11055563,2.85538311,0.85381823,168.2541676,1.64774947,3.91585668
2024-05-01,4,gel,6.40038815,0.3734226,0.3502157,34.0096414,1.0,0.29902055,58.92525142,0.57706774,1.3713945
2024-05-01,5,rub,0.18819334,0.010979904,0.010297542,1.0,0.029403427,0.008792229,1.73260431,0.016967769,0.040323698
2024-05-02,1,mxn,1.0,0.058969648,0.055039772,5.36626576,0.15780015,0.047061584,9.1999815,0.090361684,0.21656603
2024-05-02,2,usd,16.9578764,1.0,0.93335766,91.00047149,2.6759554,0.79806452,156.0121492,1.53234227,3.6725
2024-05-02,3,eur,18.1686798,1.07140065,1.0,97.4979643,2.86702035,0.85504685,167.1515181,1.64175251,3.93471889
2024-05-02,4,gel,6.33712968,0.37369831,0.34879418,34.00672205,1.0,0.29823536,58.30147588,0.57263371,1.37240703
2024-05-02,5,rub,0.18634932,0.010988954,0.010256624,1.0,0.029405951,0.008769894,1.71441034,0.016838839,0.040356934
2024-05-03,1,mxn,1.0,0.058942336,0.054919189,5.36500858,0.15771533,0.046987713,9.02546447,0.089615729,0.21646573
2024-05-03,2,usd,16.96573414,1.0,0.93174436,91.02130925,2.67575642,0.79718105,153.1236306,1.52039663,3.6725
2024-05-03,3,eur,18.2085718,1.07325575,1.0,97.68914396,2.87177097,0.85557915,164.3408177,1.63177444,3.94153176
2024-05-03,4,gel,6.34053759,0.3737261,0.34821718,34.01703859,1.0,0.29792736,57.22629672,0.5682119,1.37250909
2024-05-03,5,rub,0.18639299,0.010986438,0.010236552,1.0,0.029397033,0.00875818,1.68228332,0.016703744,0.040347695
2024-05-04,1,mxn,1.0,0.058935297,0.054758998,5.39116117,0.15791296,0.04697383,9.01561956,0.08926546,0.21643988
2024-05-04,2,usd,16.96776049,1.0,0.92913757,91.47593142,2.67942933,0.7970407,152.9748733,1.51463494,3.6725
2024-05-04,3,eur,18.26183883,1.07626689,1.0,98.45251631,2.88378107,0.85782852,164.6417913,1.63015144,3.95259016
2024-05-04,4,gel,6.33260236,0.3732138,0.34676696,34.14007995,1.0,0.29746659,57.09233372,0.56528266,1.37062768
